"id","collection_id","filename","is_active"
"9923972b-eaff-4e4e-9676-634e0984926b","4aefeaaa-3442-4c08-8b45-443afa4665d3","Cas d'usages IA en santé.docx","1"
"9936b27e-791a-429b-bb98-eb35ffbfc18b","8b0e209e-7f6f-452d-87c8-c42e49b05c61","okbat_guide_gdr_03_04_12.pdf","1"
"995c642b-5447-4aa4-8803-6fad32d758f6","1f7f2587-e2f4-410e-bfc8-c511ae9c70b2","Design Thinking Integrating Innovation, Customer Experience, and Brand Value (Thomas Lockwood).pdf","1"
"99a1d7d9-8ec2-47d5-84f9-5976e9620e39","f4709151-03b0-41bb-8fd7-8324d31ffcd0","Nice Matin du 18 07 2024.pdf","1"
"9a1163b0-7507-41c0-aefb-e0f32570be14","cd0e9f6e-1580-4238-98e0-e24bcd3f1007","Cas pratiques Hospi Grand Ouest.docx","1"
"9a117bba-2d1d-4d12-8266-433aa8709584","b1014dbf-07be-407c-942e-85426dd57283","constitution-1958-vingt-cinquieme-revision.pdf","1"
"9a3133cb-806c-4d57-beee-f45144d353fc","e94dc56f-f41f-4b7b-bcd4-84954a286cd0","ROUMIER Marina_CV.pdf","1"
"9a40dc63-adc4-4fde-99e3-00a4a9d35eec","d271f33b-1b0a-4db3-9c17-800d11ada8e2","RCP Orladeyo anx_160736_fr.pdf","1"
"9a6ffce6-21c7-4365-af5f-049d9928f256","65f6410d-426d-47ed-8109-eba97f153df0","Artificial Intelligence For Dummies (For Dummies (ComputerTech)) (John Paul Mueller, Luca Massaron).pdf","1"
"9a7c0d17-bb67-4a2c-9eca-93c5219f632c","b7ba6b50-5f61-491f-95d5-9ea0aa8e6116","GORIAU Tiffany_CV.pdf","1"
"9a7d9676-cfb0-4ce1-9c36-668c0fe97ee7","249181cb-0556-405a-8f80-290a4ec2adc6","Can Artificial Intelligence Increase Empathy in the Insurance Industry_ fr.docx","1"
"9abccfbc-4b40-411a-a89a-aa0c2a244b7e","6916a882-1249-4afd-8097-13a58013accb","PS_Séquence_email_scaleur_10avril24.docx","1"
"9ac852cf-05f9-48c7-a911-29d191c63650","b7ba6b50-5f61-491f-95d5-9ea0aa8e6116","ODIN aurélie_CV.pdf","1"
"9b3c83ca-69c4-412e-b582-bf0b0c48619f","56ff0c08-0c24-49b5-9dfc-6e4adaa64d6a","OSTIE x Constellation_CDC Fonct ADHERENT APPLICATION OSTIE_270623_v2.2.docx","1"
"9b46b6f5-d023-4d1e-b516-59be1eac0d90","0a7c597d-4bdd-4b18-8aae-523598883c58","(HBR Guide to Harvard Business Review) Harvard Business Review - HBR Guide to AI Basics for Managers-Harvard Business Review Press (2023).pdf","1"
"9bb88b6e-6d32-4570-a1bf-42d4417c2b51","131f1685-0f06-449a-bf36-5e840f7b8e2f","Mercator-12e édition (Lendrevie,Lévy,Baynast) (Z-Library).pdf","1"
"9c1fd469-177f-40bf-9162-41ab1795e72f","59335b13-839d-4b81-944c-22693409d237","CSV-sortie_contre_avis_medical_etou_refus_de_soins.pdf","1"
"9c220b98-6711-43a3-8f1c-c1be2c7e0693","f4709151-03b0-41bb-8fd7-8324d31ffcd0","Le Monde du Samedi 13 Juillet 2024.pdf","1"
"9c573378-8583-46d5-8238-dd620e8f0f80","99fdbd94-be17-4ede-ba12-3db11b5909f1","1_2023.pdf","1"
"9c638ad1-2cab-4323-85d3-1896875e4642","eee273b4-a7c9-4366-aac8-bdf3dd3561c5","Cahier des charges fonctionnels OfferAnalytix.docx","0"
"9c78a57e-6751-43f8-9014-f231fb7ece3f","9f0b11b3-7b49-44e7-bc67-244660818bae","GF_POL_S5_Mathematiques_financieres.pdf","1"
"9cc9a482-148f-4fae-bbcb-9ab77a1a5a13","6916a882-1249-4afd-8097-13a58013accb","GMT20240522-114830_Recording.m4a.docx","1"
"9cea9ccd-3439-4e5d-b451-4cfc37041a33","f14f39a8-2cda-4e69-ba2c-5ccb56889703","50 Façons d’utiliser l’IA Générative.pdf","1"
"9cfb3291-5712-4934-8514-d144d8315a06","1139e806-a8be-48aa-a96b-34e65ac526c6","HPCA-autorisation_parentale_medicale_d_urgence_mineur.pdf","1"
"9d0307d8-f16c-4e17-a71f-f0a1aed578cd","63496d3d-9289-4b9c-8293-5c0a624387a3","Niveau de certification de l'établissement et IQSS - Campagne 2023.pdf","1"
"9d07e74d-bfa2-48ea-8c61-a41b818fad2d","8bc1f970-c27c-4d8d-af89-a4203177bf85","SARAULLO romane_CV.pdf","1"
"9d0bf663-b4d7-4527-8d01-a345e17a6c92","748f27fd-75cc-4313-bc4d-be0a6bad0e15","The Flawless Consulting Fieldbook and Companion  A Guide Understanding Your Expertise (Peter Block, Andrea Markowitz).pdf","1"
"9d258993-5691-4cfa-bf6b-b08a18ed98af","ec9693b2-b5d8-419f-861d-0403d071ea76","Andreas Creutzmann - Soft Skills for the Professional Services Industry_ Principles, Tasks, and Tools for Success-Wiley (2022).pdf","1"
"9d268657-5058-4ba7-b3ce-8c24bbc116ab","f9e8af02-e679-447e-998f-18a6eab71216","David J. Cichelli - Compensating the Sales Force_ A Practical Guide to Designing Winning Sales Reward Programs (2017, McGraw-Hill).pdf","1"
"9d40b366-643d-4281-8312-1e63dced3b54","8ab4f6dc-c68a-463d-a04a-a1ae1ecb2c39","KARANI AHMED Hassanati_CV.pdf","1"
"9d4744aa-9142-45ec-8e5f-16a42daf132e","f97c68de-7559-4cd8-b5a2-793502803d7c","Ostie x Constellation_documentation_BO28dec2022_V2.3.docx","1"
"9d8ce830-4dfc-4e49-8771-5e0e85e20775","c7bbcf7f-8e2f-4410-a92a-ce1901a298d6","verbatim1_barometresocial.pdf","1"
